Query Number,Search Miles,Round Trip Query Time,Mean Cell Resolution,GpCell Count,Cache Hit,Found,InBounds,HasShops,Mean Non-Cache Search Time,STD Non-Cache Search Time,Mean All Search Time,STD All Search Time
0,8.887282945,0.975879812922,10.5,8,0,15,8,8,0.00125,0.00309359216769,0.00125,0.00309359216769
1,4.7897913766,0.325377169727,11.5,8,0,3,2,2,0.0,0.0,0.0,0.0
2,9.3867116744,0.457531539847,10.375,8,0,10,2,2,0.0,0.0,0.0,0.0
3,5.48350027658,0.461789241464,11.1111111111,9,0,4,2,2,0.0,0.0,0.0,0.0
4,4.39374317058,0.403442205735,11.1666666667,6,0,2,2,2,0.0,0.0,0.0,0.0
5,6.72176678607,0.267306423481,10.0,4,0,5,1,1,0.0,0.0,0.0,0.0
6,3.47724564109,0.311952344483,11.0,4,0,1,1,1,0.0,0.0,0.0,0.0
7,5.04972128003,0.287064387746,11.0,6,0,3,0,0,0.00166666666667,0.00068041381744,0.00166666666667,0.00068041381744
8,6.77797406119,0.278155108685,10.0,4,0,8,2,2,0.0,0.0,0.0,0.0
9,6.77555627158,0.330096378533,10.5,6,0,12,4,4,0.00166666666667,0.00068041381744,0.00166666666667,0.00068041381744
10,2.82539626618,0.375954668543,12.1111111111,9,0,0,0,0,0.0,0.0,0.0,0.0
11,2.93926601138,0.294188736842,11.6666666667,6,0,1,0,0,0.0,0.0,0.0,0.0
12,2.91470421129,0.322049015061,12.0,9,0,0,0,0,0.0,0.0,0.0,0.0
13,4.90796224538,0.376075713309,11.6,10,0,5,0,0,0.0,0.0,0.0,0.0
14,1.99973489649,0.290962413487,12.2857142857,7,0,1,0,0,0.0,0.0,0.0,0.0
15,7.08459603922,0.277134874227,10.25,4,0,8,2,2,0.0025,0.00375,0.0025,0.00375
16,3.90837582408,0.32044123315,11.6666666667,6,0,3,2,2,0.0,0.0,0.0,0.0
17,2.6299775538,0.342085958692,12.0,6,0,1,0,0,0.0,0.0,0.0,0.0
18,3.59695409813,0.289175562176,11.8333333333,6,0,4,3,3,0.0,0.0,0.0,0.0
19,7.27414168191,0.268150662691,10.0,4,0,7,4,4,0.0025,0.00125,0.0025,0.00125
