Query Number,Search Miles,Round Trip Query Time,Mean Cell Resolution,GpCell Count,Cache Hit,Found,InBounds,HasShops,Mean Non-Cache Search Time,STD Non-Cache Search Time,Mean All Search Time,STD All Search Time
0,6.09305769572,0.559985751302,11.1428571429,7,7,21,11,11,0.0,0.0,0.00571428571429,0.00161984774146
1,2.9170533304,0.225894126946,12.0,3,3,6,5,5,0.0,0.0,0.00333333333333,0.00384900179459
2,4.00328261328,0.216348113988,11.0,3,3,7,3,3,0.0,0.0,0.00333333333333,0.00384900179459
3,2.52712058861,0.232506629603,12.0,3,3,6,4,4,0.0,0.0,0.00666666666667,0.0019245008973
4,3.00712384311,0.307383384896,12.0,5,5,7,4,4,0.0,0.0,0.004,0.002683281573
5,6.22405463753,0.240491357212,10.4,5,5,33,7,7,0.0,0.0,0.008,0.005366563146
6,7.33783895276,0.273415533617,10.0,5,5,59,17,17,0.0,0.0,0.01,0.004472135955
7,8.3820529938,0.278567429428,10.1666666667,6,6,50,22,22,0.0,0.0,0.00833333333334,0.0034020690872
8,6.39919305386,0.250806676906,10.2,5,5,47,14,14,0.0,0.0,0.01,3.813017301e-15
9,6.95081367876,0.292469516893,10.3333333333,6,6,41,14,14,0.0,0.0,0.00833333333333,0.000680413817436
10,3.23336324757,0.232250322114,11.0,4,4,10,3,3,0.0,0.0,0.005,0.0025
11,5.18339125399,0.256084612981,11.0,7,7,22,13,13,0.0,0.0,0.00714285714286,0.00107989849431
12,0.502923050908,0.208686940961,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
13,5.95560242744,0.228577478065,10.0,4,4,41,9,9,0.0,0.0,0.01,1.7763568394e-15
14,5.45721578709,0.266878731973,11.2857142857,7,7,15,9,9,0.0,0.0,0.00428571428572,0.00215979698863
15,7.48239058927,0.246206591522,10.0,5,5,61,20,20,0.0,0.0,0.01,2.54227013131e-15
16,5.26812750702,0.219882236892,11.0,3,3,8,3,3,0.0,0.0,0.00333333333334,0.0019245008973
17,3.20824052744,0.210070309717,11.0,4,4,7,2,2,0.0,0.0,0.0075,0.00375
18,7.60286485265,0.249586622517,10.4,5,5,45,15,15,0.0,0.0,0.012,0.003577708764
19,5.50269053573,0.260637817536,11.1111111111,9,9,34,12,12,0.0,0.0,0.00555555555556,0.00148148148148
