Query Number,Search Miles,CPU Usage,Round Trip Query Time,Mean Cell Resolution,GpCell Count,Cache Hit,Found,InBounds,HasShops,Mean Non-Cache Search Time,STD Non-Cache Search Time,Mean All Search Time,STD All Search Time
0,5.56439116777,109,1.09206088513,11.0,2,2,2,1,1,0.0,0.0,0.005,0.00353553390593
1,4.71390798798,72,0.221191441712,11.0,2,2,2,1,1,0.0,0.0,0.0,0.0
2,7.83501270094,81,0.222491808343,10.1666666667,6,6,18,5,5,0.0,0.0,0.005,0.00204124145232
3,3.9153720279,74,0.223635393182,11.0,3,3,4,3,3,0.0,0.0,0.00666666666667,0.0019245008973
4,4.76287501186,65,0.216765045961,11.5,2,2,3,1,1,0.0,0.0,0.005,0.00353553390593
5,8.37809890163,92,0.235467423011,10.0,6,6,21,10,10,0.0,0.0,0.00833333333333,0.0034020690872
6,2.14002249941,43,0.206352506184,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
7,8.17241291885,77,0.276808245493,10.3333333333,6,6,15,6,6,0.0,0.0,0.005,0.00204124145232
8,2.56884410605,62,0.217542806617,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
9,6.91092564502,80,0.222173633529,10.0,5,5,14,4,4,0.0,0.0,0.008,0.000894427191
10,1.88681477314,46,0.201450385287,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
11,1.82364905197,42,0.220043629914,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
12,3.28351853348,33,0.198042686917,11.0,1,1,1,0,0,0.0,0.0,0.0,0.0
13,7.37373739845,60,0.21404403647,10.0,5,5,10,3,3,0.0,0.0,0.006,0.002683281573
14,3.69959224383,49,0.20366723372,11.0,2,2,2,0,0,0.0,0.0,0.005,0.00353553390593
15,5.43454044777,59,0.217672689572,11.0,1,1,2,2,2,0.0,0.0,0.0,0.0
16,1.28657176485,44,0.265999908544,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
17,1.41402375067,47,0.229326802808,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
18,3.50185658704,61,0.218820501371,11.6,5,5,7,2,2,0.0,0.0,0.002,0.000894427191
19,7.37260154117,72,0.21926471645,10.0,4,4,15,6,6,0.0,0.0,0.005,0.0025
