KeyName,phone_number,address,locality,corporate_name
Ven1579,(425)616-8908,Address28028,Locality221809,CorporateName296592
Ven1578,(983)941-2583,Address756500,Locality234997,CorporateName897515
Ven1577,(404)575-1201,Address13163,Locality805169,CorporateName516052
Ven1576,(151)433-3392,Address411509,Locality763767,CorporateName861326
Ven1575,(677)381-1476,Address474156,Locality820963,CorporateName102969
Ven1574,(238)223-6601,Address376510,Locality607777,CorporateName182287
Ven1573,(224)280-1346,Address797864,Locality232630,CorporateName370520
Ven1572,(477)779-4686,Address830224,Locality506533,CorporateName304790
Ven1571,(740)396-2223,Address378737,Locality993296,CorporateName308327
Ven1570,(510)580-9714,Address988834,Locality185920,CorporateName452596
Ven1568,(245)122-5148,Address382474,Locality164513,CorporateName958879
Ven1569,(914)143-3788,Address158765,Locality914771,CorporateName287691
Ven1564,(690)479-3294,Address707390,Locality898497,CorporateName225755
Ven1565,(259)604-7810,Address735686,Locality487222,CorporateName992095
Ven1566,(367)496-6018,Address620100,Locality813916,CorporateName330267
Ven1567,(425)721-1252,Address124328,Locality877620,CorporateName521299
Ven1560,(229)887-7990,Address297423,Locality888387,CorporateName36437
Ven1561,(911)751-3359,Address79929,Locality910404,CorporateName485491
Ven1562,(957)956-1916,Address177440,Locality213973,CorporateName422891
Ven1563,(841)106-8878,Address562927,Locality54977,CorporateName226810
Ven1559,(896)261-6818,Address532035,Locality553372,CorporateName658976
Ven1558,(693)248-8316,Address46562,Locality712051,CorporateName317546
Ven1551,(888)672-1329,Address311525,Locality248172,CorporateName91022
Ven1550,(651)374-9589,Address696068,Locality206045,CorporateName112814
Ven1553,(733)463-2711,Address555204,Locality830516,CorporateName179577
Ven1552,(354)720-3319,Address727103,Locality908123,CorporateName764024
Ven1555,(798)504-8946,Address255722,Locality483554,CorporateName362408
Ven1554,(560)989-8504,Address992163,Locality255219,CorporateName617629
Ven1557,(933)836-1114,Address535649,Locality582577,CorporateName517511
Ven1556,(450)218-2389,Address760977,Locality95683,CorporateName671187
Ven1546,(540)185-2403,Address989196,Locality529246,CorporateName928540
Ven1547,(667)213-2471,Address128924,Locality106350,CorporateName298526
Ven1544,(888)604-1816,Address32746,Locality910663,CorporateName566611
Ven1545,(768)940-4717,Address97059,Locality519612,CorporateName608367
Ven1542,(758)384-7065,Address128157,Locality624003,CorporateName220060
Ven1543,(319)438-3329,Address685572,Locality743930,CorporateName196598
Ven1540,(931)951-4655,Address272532,Locality222986,CorporateName476273
Ven1541,(765)149-3917,Address151271,Locality71139,CorporateName107463
Ven1548,(965)760-9442,Address610871,Locality199900,CorporateName865160
Ven1549,(441)451-7992,Address79628,Locality9067,CorporateName267698
Ven1533,(439)583-3173,Address628973,Locality368719,CorporateName8756
Ven1532,(366)670-2772,Address155627,Locality313116,CorporateName181782
Ven1531,(315)657-4860,Address692151,Locality465601,CorporateName350008
Ven1530,(510)537-1429,Address537735,Locality491216,CorporateName298643
Ven1537,(971)600-2583,Address979130,Locality784547,CorporateName166782
Ven1536,(546)366-4048,Address610404,Locality474578,CorporateName831184
Ven1535,(652)355-2896,Address370709,Locality457112,CorporateName655246
Ven1534,(558)385-8899,Address260045,Locality620974,CorporateName46752
Ven1539,(576)322-8233,Address652020,Locality290842,CorporateName84013
