KeyName,phone_number,vendor,locality,longitude,has_shops,address,business_name,lattitude
Loc207754,(940)969-9999,Ven1077,Locality998902,-95.9223566432,True,Address601141,BusinessName682785,47.7317890929
Loc207755,(558)541-6705,Ven1077,Locality258671,-96.0123522412,True,Address310201,BusinessName530432,47.4081370011
Loc207756,(344)615-1346,Ven1077,Locality916377,-91.0631389139,True,Address539332,BusinessName733391,47.1128810699
Loc207757,(992)422-8195,Ven1077,Locality647663,-95.4114593018,True,Address412129,BusinessName797164,48.3249649129
Loc207750,(798)414-9657,Ven1077,Locality781188,-93.8711621344,True,Address33039,BusinessName548756,46.3623313497
Loc207751,(599)445-6120,Ven1077,Locality652995,-96.653986772,True,Address799416,BusinessName326678,47.281099551
Loc207752,(474)302-8806,Ven1077,Locality337169,-96.4229916163,True,Address786890,BusinessName257309,48.5940366597
Loc207753,(817)505-3723,Ven1077,Locality408460,-95.4682945871,True,Address118145,BusinessName257271,48.1517821608
Loc207758,(943)264-8377,Ven1077,Locality781578,-96.4778754422,True,Address661953,BusinessName475778,45.9630989978
Loc207759,(433)290-5836,Ven1077,Locality620175,-96.2605195714,True,Address224960,BusinessName228974,48.5942482578
Loc207721,(631)568-7675,Ven1077,Locality541044,-94.1893638403,True,Address423290,BusinessName229366,47.5510640154
Loc207720,(959)362-5941,Ven1077,Locality743208,-96.3741105577,True,Address601059,BusinessName642437,47.4086522727
Loc207723,(176)454-8449,Ven1077,Locality248290,-92.6877231445,True,Address735001,BusinessName169089,48.0875468925
Loc207722,(279)991-2834,Ven1077,Locality497274,-94.9889213987,True,Address310006,BusinessName919566,46.6912897314
Loc207725,(468)288-8526,Ven1077,Locality677498,-93.0438364934,True,Address610753,BusinessName569065,47.7462862104
Loc207724,(434)229-4478,Ven1077,Locality339344,-96.082813921,True,Address514720,BusinessName486204,46.2747709197
Loc207727,(834)320-1867,Ven1077,Locality650314,-92.2805993449,True,Address455732,BusinessName642542,47.1022483137
Loc207726,(677)456-3672,Ven1077,Locality123582,-95.4735424546,True,Address306673,BusinessName114842,46.320054801
Loc207729,(802)389-4386,Ven1077,Locality76132,-90.5154205948,True,Address25745,BusinessName187175,46.7294716178
Loc207728,(129)664-4904,Ven1077,Locality620048,-92.8019903738,True,Address36028,BusinessName852648,46.4146643054
Loc207732,(899)704-5874,Ven1077,Locality868854,-95.7143307307,True,Address315087,BusinessName494825,48.1929400165
Loc207733,(508)823-1531,Ven1077,Locality152263,-95.8870611528,True,Address192755,BusinessName213380,48.7988784736
Loc207730,(263)114-4826,Ven1077,Locality590704,-91.2782127185,True,Address110803,BusinessName123100,45.6876615944
Loc207731,(396)893-1161,Ven1077,Locality84869,-96.5348269797,True,Address296495,BusinessName21921,46.9413008395
Loc207736,(452)977-5768,Ven1077,Locality839286,-95.4912022312,True,Address102113,BusinessName76178,46.0662158639
Loc207737,(375)235-7634,Ven1077,Locality175188,-94.1104888713,True,Address620496,BusinessName167975,46.8453023164
Loc207734,(936)874-5506,Ven1077,Locality461537,-94.3891233159,True,Address152210,BusinessName90597,45.7943365138
Loc207735,(513)605-6427,Ven1077,Locality127491,-95.4908020232,True,Address770124,BusinessName393334,46.7646161211
Loc207738,(371)676-6467,Ven1077,Locality910038,-92.0646867919,True,Address753538,BusinessName610821,45.8476935446
Loc207739,(380)266-4443,Ven1077,Locality720124,-90.7398689152,True,Address888968,BusinessName140460,45.7191259592
Loc207707,(364)101-1385,Ven1077,Locality111161,-91.587403639,True,Address461799,BusinessName631438,47.431891922
Loc207706,(390)745-2561,Ven1077,Locality68609,-91.1412517497,True,Address782509,BusinessName386418,47.9050900755
Loc207705,(645)956-9326,Ven1077,Locality730215,-90.6828378947,True,Address696155,BusinessName827535,47.1526038696
Loc207704,(730)444-4618,Ven1077,Locality710146,-92.0368003783,True,Address211574,BusinessName728252,47.4851040555
Loc207703,(739)501-7820,Ven1077,Locality846857,-95.5077108424,True,Address905572,BusinessName864888,48.1893009701
Loc207702,(296)344-2422,Ven1077,Locality486819,-90.145725658,True,Address883450,BusinessName492449,46.4517244637
Loc207701,(234)607-6052,Ven1077,Locality247115,-90.7211587918,True,Address633417,BusinessName576751,45.7577956363
Loc207700,(515)649-5751,Ven1077,Locality861573,-90.0740933344,True,Address78626,BusinessName991310,47.4731088771
Loc207709,(303)965-5259,Ven1077,Locality919346,-93.2010593049,True,Address103131,BusinessName510589,46.2114091453
Loc207708,(454)572-1793,Ven1077,Locality249747,-94.6163226202,True,Address288351,BusinessName356983,45.9391832804
Loc207789,(765)964-2181,Ven1077,Locality270989,-90.7170157872,True,Address793728,BusinessName838891,46.0617802322
Loc207788,(646)356-1907,Ven1077,Locality415280,-91.4960628312,True,Address815052,BusinessName292825,48.8279630477
Loc207787,(452)276-1598,Ven1077,Locality454521,-92.5257596047,True,Address401250,BusinessName389412,45.9314017478
Loc207786,(458)244-6901,Ven1077,Locality801155,-93.4929530405,True,Address302235,BusinessName84305,45.6392243594
Loc207785,(251)279-3214,Ven1077,Locality284206,-92.9109526498,True,Address567414,BusinessName968472,46.0268841647
Loc207784,(523)417-9488,Ven1077,Locality126525,-92.9288330073,True,Address881713,BusinessName431629,47.8972450067
Loc207783,(641)645-5020,Ven1077,Locality658047,-90.5410363343,True,Address365548,BusinessName33328,47.2987724643
Loc207782,(991)961-8043,Ven1077,Locality666388,-95.8947384963,True,Address368188,BusinessName19699,47.6252959306
Loc207781,(865)268-6898,Ven1077,Locality796750,-94.267087692,True,Address821074,BusinessName469549,47.4020591588
Loc207780,(719)869-2052,Ven1077,Locality718231,-91.8378929546,True,Address912288,BusinessName445292,46.0700154764
Loc207718,(852)931-2843,Ven1077,Locality835774,-90.8615244148,True,Address919687,BusinessName743432,48.903053839
Loc207719,(245)564-2826,Ven1077,Locality672765,-90.3780758899,True,Address501553,BusinessName901938,45.9337992581
Loc207710,(217)768-4934,Ven1077,Locality889277,-90.1863292023,True,Address182988,BusinessName914885,48.3579650648
Loc207711,(967)234-1038,Ven1077,Locality154751,-94.7045264728,True,Address492739,BusinessName509841,46.473645199
Loc207712,(484)567-3403,Ven1077,Locality995332,-95.8484277374,True,Address317525,BusinessName407573,47.5230731355
Loc207713,(208)774-1370,Ven1077,Locality223627,-96.9228629458,True,Address675209,BusinessName337675,47.3265847084
Loc207714,(673)525-8078,Ven1077,Locality325398,-95.5405241052,True,Address864634,BusinessName982261,46.4036482302
Loc207715,(824)973-8178,Ven1077,Locality638036,-92.8624611398,True,Address311170,BusinessName752225,46.1850733646
Loc207716,(317)986-7596,Ven1077,Locality126777,-95.6935509833,True,Address801674,BusinessName25603,46.7452839518
Loc207717,(943)962-9651,Ven1077,Locality962596,-90.2875330303,True,Address194542,BusinessName766463,46.1568629837
Loc207790,(592)610-8017,Ven1077,Locality365499,-95.292468746,True,Address173280,BusinessName856210,48.1785297276
Loc207791,(846)348-2834,Ven1077,Locality984205,-93.6440519526,True,Address342440,BusinessName379691,47.6375308368
Loc207792,(241)496-9570,Ven1077,Locality367704,-96.7923296124,True,Address500375,BusinessName545295,47.797509459
Loc207793,(214)280-3991,Ven1077,Locality765525,-94.2606643858,True,Address54524,BusinessName328815,48.2055532062
Loc207794,(828)358-8900,Ven1077,Locality506532,-91.4646032764,True,Address804919,BusinessName527933,47.7032865202
Loc207795,(510)501-9362,Ven1077,Locality534490,-92.8881784079,True,Address915132,BusinessName975366,47.9615922705
Loc207796,(432)170-3399,Ven1077,Locality616649,-93.6726563151,True,Address296334,BusinessName319231,47.5953701144
Loc207797,(961)299-4507,Ven1077,Locality553707,-95.2936012121,True,Address677328,BusinessName123343,45.7081859168
Loc207798,(908)369-3936,Ven1077,Locality425998,-92.7002691852,True,Address244393,BusinessName470548,46.1884181717
Loc207799,(121)106-8682,Ven1077,Locality875901,-94.2648700617,True,Address185666,BusinessName487655,46.9606618352
Loc207769,(976)462-9026,Ven1077,Locality667990,-94.9125535276,True,Address596806,BusinessName831513,46.2835846621
Loc207768,(999)988-5575,Ven1077,Locality279540,-93.0672954974,True,Address209823,BusinessName186794,46.7476270314
Loc207765,(171)204-9441,Ven1077,Locality684272,-92.441390799,True,Address211885,BusinessName917251,46.2378988811
Loc207764,(396)731-2318,Ven1077,Locality58491,-94.0767970864,True,Address280069,BusinessName270918,47.5729194545
Loc207767,(934)998-9313,Ven1077,Locality425646,-96.7935325363,True,Address425683,BusinessName455976,46.8938059646
Loc207766,(969)999-7537,Ven1077,Locality475518,-91.28580091,True,Address790187,BusinessName215324,48.2788200682
Loc207761,(558)210-7384,Ven1077,Locality5119,-95.2282412709,True,Address925791,BusinessName572970,45.67094739
Loc207760,(790)190-1098,Ven1077,Locality222165,-94.753629951,True,Address477136,BusinessName547821,45.932059897
Loc207763,(698)726-5109,Ven1077,Locality823308,-93.8377091777,True,Address538055,BusinessName723321,48.0409032592
Loc207762,(678)290-2229,Ven1077,Locality245373,-90.3851631463,True,Address256420,BusinessName337685,48.7136836758
Loc207778,(221)952-3184,Ven1077,Locality691582,-95.6931496351,True,Address448991,BusinessName686299,48.8468317615
Loc207779,(866)998-2069,Ven1077,Locality495192,-93.6977402168,True,Address801262,BusinessName886928,47.237956194
Loc207776,(189)128-2952,Ven1077,Locality497480,-96.5440938992,True,Address146862,BusinessName661047,48.0141426843
Loc207777,(213)731-8339,Ven1077,Locality112963,-92.4458512738,True,Address834910,BusinessName527168,48.0542165371
Loc207774,(297)950-8703,Ven1077,Locality699885,-90.3627410119,True,Address217293,BusinessName263383,47.0755905724
Loc207775,(334)483-1703,Ven1077,Locality229773,-92.3701171907,True,Address503797,BusinessName708941,46.940494481
Loc207772,(556)976-3693,Ven1077,Locality348754,-91.979392881,True,Address693518,BusinessName140851,47.1869751531
Loc207773,(266)935-8688,Ven1077,Locality817339,-91.817911255,True,Address759938,BusinessName318155,47.8145826587
Loc207770,(464)917-3632,Ven1077,Locality334628,-91.1602383446,True,Address72725,BusinessName736609,45.8015775458
Loc207771,(876)414-9350,Ven1077,Locality769067,-96.4065697603,True,Address300184,BusinessName716975,47.7624342303
Loc207743,(795)561-1505,Ven1077,Locality645741,-95.9813271681,True,Address253731,BusinessName525781,48.2852155071
Loc207742,(436)455-5865,Ven1077,Locality80122,-93.1095964991,True,Address588128,BusinessName741232,46.2677957267
Loc207741,(842)233-2757,Ven1077,Locality895835,-94.9727361618,True,Address298692,BusinessName622627,47.4857207558
Loc207740,(816)961-4526,Ven1077,Locality192533,-92.49695464,True,Address729930,BusinessName143408,46.0796063915
Loc207747,(752)231-1858,Ven1077,Locality566442,-91.1608790281,True,Address773948,BusinessName523806,47.8352560182
Loc207746,(952)184-9914,Ven1077,Locality389392,-96.9693423052,True,Address77310,BusinessName14220,48.1659463641
Loc207745,(981)736-7117,Ven1077,Locality890427,-95.8574859685,True,Address565755,BusinessName994329,47.1034351897
Loc207744,(714)841-7838,Ven1077,Locality612240,-94.6789078422,True,Address767045,BusinessName496842,47.4818264011
Loc207749,(210)805-8798,Ven1077,Locality35060,-91.5497412312,True,Address830700,BusinessName965357,47.7044933196
Loc207748,(133)373-6187,Ven1077,Locality430863,-91.1937413057,True,Address540031,BusinessName46307,46.5452140588
