KeyName,phone_number,address,locality,corporate_name
Ven1051,(195)932-3665,Address854184,Locality225912,CorporateName92564
Ven1038,(716)998-4221,Address269888,Locality231970,CorporateName349870
Ven1045,(206)476-8105,Address280794,Locality597382,CorporateName574356
Ven1048,(124)955-5800,Address682488,Locality158376,CorporateName488720
Ven1042,(149)760-2495,Address714439,Locality494724,CorporateName99339
Ven1055,(424)549-7795,Address882198,Locality477929,CorporateName983101
Ven1075,(805)338-9611,Address221382,Locality259968,CorporateName920655
Ven1059,(222)733-7349,Address164582,Locality743878,CorporateName765755
Ven1022,(749)301-1590,Address782431,Locality41575,CorporateName37808
Ven1049,(677)200-6473,Address559413,Locality135489,CorporateName40893
Ven1050,(545)415-8881,Address84269,Locality951134,CorporateName606841
Ven1072,(119)696-3340,Address613182,Locality432409,CorporateName153973
Ven1007,(282)167-4034,Address421877,Locality20967,CorporateName707594
Ven1056,(715)747-1093,Address147161,Locality805686,CorporateName645324
Ven1044,(897)543-4037,Address595848,Locality573601,CorporateName289503
Ven1076,(809)172-9411,Address499627,Locality980719,CorporateName564297
Ven1071,(705)468-1936,Address762433,Locality734612,CorporateName178295
Ven1057,(857)290-5806,Address258061,Locality100772,CorporateName546805
Ven1020,(762)843-8523,Address349106,Locality788777,CorporateName226302
Ven1078,(226)687-9886,Address181474,Locality54115,CorporateName332179
Ven1079,(883)173-7835,Address909587,Locality53464,CorporateName372768
Ven1023,(115)728-6839,Address298682,Locality393975,CorporateName40993
Ven1014,(246)528-9739,Address471174,Locality531904,CorporateName940518
Ven1015,(249)840-6255,Address485338,Locality335417,CorporateName869377
Ven1016,(689)666-1267,Address19774,Locality128095,CorporateName184809
Ven1017,(879)904-6519,Address551480,Locality453542,CorporateName418565
Ven1010,(814)766-1121,Address411724,Locality725803,CorporateName468733
Ven1011,(161)292-6652,Address778139,Locality823218,CorporateName272605
Ven1012,(105)161-3262,Address58749,Locality217765,CorporateName494577
Ven1013,(909)666-3008,Address159385,Locality287507,CorporateName408315
Ven1036,(115)123-1834,Address34131,Locality466104,CorporateName67825
Ven1025,(732)103-5081,Address711207,Locality768818,CorporateName663114
Ven1034,(488)283-5043,Address785412,Locality446028,CorporateName767680
Ven1035,(482)417-6933,Address789856,Locality49924,CorporateName609799
Ven1018,(264)487-1189,Address180164,Locality777768,CorporateName127351
Ven1019,(737)133-2233,Address217381,Locality278604,CorporateName773767
Ven1030,(222)492-1599,Address918868,Locality46847,CorporateName483138
Ven1024,(102)429-4610,Address54136,Locality698844,CorporateName603393
Ven1065,(153)451-7055,Address474662,Locality485254,CorporateName345859
Ven1027,(431)362-8618,Address486096,Locality71282,CorporateName41724
Ven1073,(548)236-5503,Address143419,Locality821593,CorporateName736877
Ven1026,(585)895-9457,Address799216,Locality903456,CorporateName332307
Ven1070,(157)606-4037,Address168378,Locality938202,CorporateName364479
Ven1039,(742)922-7926,Address773051,Locality348740,CorporateName648496
Ven1043,(127)152-2212,Address423098,Locality355002,CorporateName902479
Ven1066,(567)706-8866,Address523086,Locality154997,CorporateName558245
Ven1037,(473)593-3625,Address909342,Locality375958,CorporateName770953
Ven1054,(746)227-3397,Address120218,Locality243170,CorporateName49914
Ven1052,(714)725-5199,Address797196,Locality207975,CorporateName629549
Ven1077,(170)806-2411,Address486769,Locality186273,CorporateName835140
Ven1053,(122)284-7686,Address703925,Locality721201,CorporateName229679
Ven1064,(718)802-3424,Address772070,Locality639086,CorporateName663731
Ven1067,(936)906-9283,Address519805,Locality215051,CorporateName741434
Ven1040,(312)437-4795,Address381126,Locality522735,CorporateName408956
Ven1061,(674)977-9483,Address765689,Locality449437,CorporateName630583
Ven1060,(837)948-2733,Address949868,Locality46009,CorporateName804057
Ven1063,(738)940-8138,Address53150,Locality742281,CorporateName201898
Ven1062,(834)984-8244,Address612342,Locality896589,CorporateName350887
Ven1032,(932)728-8917,Address645480,Locality4794,CorporateName412424
Ven1074,(858)562-1573,Address576056,Locality460425,CorporateName785591
Ven1069,(316)604-1969,Address493411,Locality751397,CorporateName72363
Ven1068,(509)939-9354,Address803330,Locality20926,CorporateName761556
Ven1058,(654)380-7568,Address373434,Locality159573,CorporateName740940
Ven1033,(825)805-8564,Address194004,Locality68078,CorporateName561989
Ven1021,(576)781-2743,Address410059,Locality196625,CorporateName380155
Ven1006,(729)427-4510,Address740301,Locality31268,CorporateName57292
Ven1005,(427)734-3472,Address834895,Locality649517,CorporateName144735
Ven1004,(489)663-9779,Address466589,Locality889308,CorporateName279118
Ven1003,(684)344-1542,Address292131,Locality678446,CorporateName399994
Ven1002,(551)443-8843,Address836717,Locality773256,CorporateName540116
Ven1001,(770)648-7899,Address130137,Locality796575,CorporateName201651
Ven1000,(279)416-7274,Address765886,Locality642834,CorporateName611899
Ven1029,(158)352-3778,Address881174,Locality868700,CorporateName205101
Ven1028,(581)311-1948,Address173907,Locality881702,CorporateName772091
Ven1041,(824)548-7174,Address437065,Locality844166,CorporateName6616
Ven1031,(207)777-1306,Address623838,Locality893255,CorporateName373462
Ven1047,(189)493-2694,Address8567,Locality68817,CorporateName279674
Ven1046,(124)184-7371,Address652481,Locality295044,CorporateName457720
Ven1009,(680)369-4142,Address928080,Locality239723,CorporateName402192
Ven1008,(444)196-9309,Address157935,Locality543620,CorporateName388829
