KeyName,phone_number,address,locality,corporate_name
Ven0538,(306)825-9267,Address285856,Locality233750,CorporateName929745
Ven0539,(750)748-7070,Address490321,Locality339458,CorporateName390348
Ven0534,(172)579-8006,Address125052,Locality765298,CorporateName877828
Ven0535,(821)892-7710,Address878413,Locality855938,CorporateName930239
Ven0536,(966)232-6824,Address775258,Locality474467,CorporateName793657
Ven0537,(890)295-6755,Address120502,Locality859342,CorporateName612692
Ven0530,(971)225-8576,Address252380,Locality943427,CorporateName263453
Ven0531,(598)616-4654,Address574739,Locality35561,CorporateName161751
Ven0518,(482)151-9355,Address180654,Locality815845,CorporateName694302
Ven0519,(629)654-8739,Address532565,Locality198896,CorporateName924047
Ven0516,(347)759-4832,Address16858,Locality675364,CorporateName40384
Ven0517,(643)904-4229,Address541037,Locality602519,CorporateName358908
Ven0514,(647)980-8356,Address330107,Locality893302,CorporateName449072
Ven0515,(575)378-9824,Address634292,Locality957407,CorporateName156674
Ven0512,(246)678-3274,Address34778,Locality861756,CorporateName155304
Ven0513,(913)307-2998,Address634074,Locality587804,CorporateName182081
Ven0510,(491)307-5881,Address165141,Locality542188,CorporateName859966
Ven0511,(845)142-7317,Address857893,Locality354920,CorporateName984389
Ven0521,(547)927-2228,Address901807,Locality773303,CorporateName44824
Ven0527,(782)994-5144,Address6072,Locality792116,CorporateName968398
Ven0526,(408)915-8267,Address961529,Locality801569,CorporateName774292
Ven0525,(540)904-7412,Address538085,Locality808304,CorporateName463177
Ven0532,(717)798-1221,Address18390,Locality315936,CorporateName574355
Ven0524,(492)162-1672,Address503823,Locality35561,CorporateName971981
Ven0523,(778)331-8655,Address933990,Locality833316,CorporateName525900
Ven0522,(252)265-4911,Address459680,Locality609931,CorporateName76025
Ven0501,(958)865-5757,Address336726,Locality231781,CorporateName88811
Ven0500,(243)500-2575,Address93732,Locality733255,CorporateName840084
Ven0503,(754)759-4680,Address300443,Locality626829,CorporateName541534
Ven0502,(710)350-8135,Address582378,Locality206405,CorporateName472629
Ven0505,(158)123-4147,Address898572,Locality930548,CorporateName875907
Ven0504,(213)685-9950,Address120541,Locality432726,CorporateName728281
Ven0507,(259)730-2544,Address69809,Locality142334,CorporateName834343
Ven0506,(574)104-6581,Address609234,Locality543468,CorporateName54550
Ven0509,(191)635-4734,Address91020,Locality367297,CorporateName688982
Ven0508,(307)579-2718,Address174371,Locality62946,CorporateName624102
Ven0520,(779)814-2935,Address989934,Locality306310,CorporateName941235
Ven0533,(154)760-5100,Address544332,Locality650008,CorporateName173241
Ven0529,(707)931-2601,Address308471,Locality112341,CorporateName43598
Ven0528,(722)339-8934,Address48186,Locality974139,CorporateName162500
