KeyName,phone_number,vendor,locality,longitude,has_shops,address,business_name,lattitude
Loc000078,(620)159-9140,Ven0000,Locality335336,-117.333513092,True,Address361611,BusinessName475669,46.4417585341
Loc000079,(578)116-6272,Ven0000,Locality467927,-117.630630943,True,Address137562,BusinessName991805,47.6668583558
Loc000072,(345)765-4005,Ven0000,Locality561205,-123.985793366,True,Address50339,BusinessName512546,47.6494925945
Loc000073,(420)798-3826,Ven0000,Locality25556,-119.777451693,True,Address111358,BusinessName63611,46.3171836791
Loc000070,(573)868-8746,Ven0000,Locality862089,-121.534651467,True,Address213550,BusinessName976750,48.4595565879
Loc000071,(157)317-7589,Ven0000,Locality622858,-122.098282917,True,Address882153,BusinessName270383,46.4902092056
Loc000076,(169)566-4480,Ven0000,Locality929602,-122.00998219,True,Address160742,BusinessName379631,48.4773248292
Loc000077,(716)941-6881,Ven0000,Locality172122,-118.032817125,True,Address391266,BusinessName946303,45.8505429768
Loc000074,(385)971-5496,Ven0000,Locality380510,-119.878611792,True,Address752722,BusinessName123999,46.7341076032
Loc000075,(139)241-1477,Ven0000,Locality830283,-120.616101258,True,Address534106,BusinessName988251,47.1532138891
Loc000049,(669)844-6572,Ven0000,Locality994092,-119.035582092,True,Address858092,BusinessName10646,47.8761914689
Loc000048,(228)833-8017,Ven0000,Locality941240,-117.743609212,True,Address886053,BusinessName447955,46.3667410214
Loc000047,(558)529-6696,Ven0000,Locality89669,-120.004003732,True,Address261010,BusinessName900721,48.1129670895
Loc000046,(812)740-1574,Ven0000,Locality807718,-120.884795905,True,Address300478,BusinessName789026,47.7150816908
Loc000045,(506)779-2369,Ven0000,Locality233118,-123.737109449,True,Address31894,BusinessName342656,47.3618905781
Loc000044,(295)513-4970,Ven0000,Locality473020,-123.192106488,True,Address570614,BusinessName520702,46.9541206302
Loc000043,(966)980-6705,Ven0000,Locality227493,-117.836238166,True,Address451866,BusinessName978523,47.6360224166
Loc000042,(703)845-1662,Ven0000,Locality110856,-118.392390948,True,Address136242,BusinessName947697,48.5441953848
Loc000041,(934)393-6219,Ven0000,Locality563709,-122.140020015,True,Address28567,BusinessName990065,47.1393123445
Loc000040,(324)794-7337,Ven0000,Locality310910,-123.192958281,True,Address245687,BusinessName182152,46.5206683885
Loc000050,(661)704-4898,Ven0000,Locality531122,-118.39809969,True,Address155698,BusinessName542986,47.4454277152
Loc000051,(569)142-3296,Ven0000,Locality206648,-117.270878079,True,Address503249,BusinessName679057,48.9793355205
Loc000052,(865)382-6747,Ven0000,Locality474962,-119.585469909,True,Address983983,BusinessName825650,46.3897381797
Loc000053,(331)430-5532,Ven0000,Locality739574,-122.025499085,True,Address638875,BusinessName348197,47.722081236
Loc000054,(840)488-5357,Ven0000,Locality893829,-123.846494902,True,Address22395,BusinessName184505,47.8250349277
Loc000055,(988)901-3150,Ven0000,Locality518720,-119.568260502,True,Address733303,BusinessName998963,48.3100917086
Loc000056,(281)191-7991,Ven0000,Locality848217,-119.053773915,True,Address357707,BusinessName528872,47.0698788084
Loc000057,(841)698-7092,Ven0000,Locality507484,-121.283783287,True,Address204789,BusinessName499235,47.7649176888
Loc000058,(707)907-3477,Ven0000,Locality980479,-118.740032146,True,Address321812,BusinessName283275,47.8297090167
Loc000059,(343)301-2786,Ven0000,Locality894681,-118.741079004,True,Address290956,BusinessName760328,48.8788361518
Loc000025,(972)777-8078,Ven0000,Locality377145,-117.87181426,True,Address36104,BusinessName836905,45.7982022612
Loc000024,(524)334-4828,Ven0000,Locality293720,-120.897928886,True,Address153436,BusinessName695398,46.1586757109
Loc000027,(427)196-2526,Ven0000,Locality386052,-120.220329816,True,Address548266,BusinessName84066,47.2469177175
Loc000026,(730)221-4257,Ven0000,Locality455774,-121.860460029,True,Address761115,BusinessName794620,46.1644975495
Loc000021,(814)738-9824,Ven0000,Locality846013,-123.238217219,True,Address392008,BusinessName922092,47.3799198033
Loc000020,(684)455-4586,Ven0000,Locality205783,-123.403638177,True,Address788625,BusinessName210406,46.621949554
Loc000023,(393)996-1436,Ven0000,Locality424094,-117.91328866,True,Address892257,BusinessName210470,45.9322021749
Loc000022,(110)796-7729,Ven0000,Locality23117,-118.633145456,True,Address319079,BusinessName39369,45.8609552898
Loc000029,(852)645-3296,Ven0000,Locality615481,-118.309380731,True,Address569660,BusinessName277462,48.2833390729
Loc000028,(507)356-7003,Ven0000,Locality575007,-120.914834462,True,Address398757,BusinessName709627,47.5122232684
Loc000036,(563)950-7820,Ven0000,Locality129295,-118.972608919,True,Address617752,BusinessName61153,47.6527137955
Loc000037,(460)821-9927,Ven0000,Locality645,-118.210333633,True,Address526034,BusinessName700136,46.509076208
Loc000034,(299)828-3973,Ven0000,Locality813080,-118.696016869,True,Address357400,BusinessName730297,46.5909581646
Loc000035,(501)774-2508,Ven0000,Locality555051,-122.550791747,True,Address420637,BusinessName87031,47.5877672396
Loc000032,(397)318-7546,Ven0000,Locality138094,-123.245396111,True,Address162235,BusinessName394740,47.0929858285
Loc000033,(357)520-4719,Ven0000,Locality774643,-123.282481923,True,Address399997,BusinessName721030,47.8851992005
Loc000030,(886)494-9037,Ven0000,Locality795583,-118.120874987,True,Address177282,BusinessName675578,46.2004937223
Loc000031,(775)170-1430,Ven0000,Locality380900,-122.234530205,True,Address907906,BusinessName961269,48.6054893467
Loc000038,(604)522-7310,Ven0000,Locality757756,-117.497725777,True,Address987926,BusinessName972211,46.3450430983
Loc000039,(636)217-3079,Ven0000,Locality954317,-119.280161186,True,Address704535,BusinessName3975,47.2622017854
Loc000083,(584)421-9008,Ven0000,Locality326008,-122.181426425,True,Address409328,BusinessName773161,48.9328835228
Loc000082,(983)772-6993,Ven0000,Locality804202,-123.5828698,True,Address318343,BusinessName575237,46.9543123315
Loc000081,(838)124-4300,Ven0000,Locality413405,-118.677882535,True,Address125784,BusinessName804719,46.5518474441
Loc000080,(182)923-6692,Ven0000,Locality769194,-122.120401608,True,Address430231,BusinessName122031,46.410135116
Loc000087,(455)793-5551,Ven0000,Locality542281,-117.892204782,True,Address777723,BusinessName431936,46.3306064951
Loc000086,(784)732-6843,Ven0000,Locality566858,-119.45440546,True,Address902107,BusinessName118898,47.5214108307
Loc000085,(293)596-6214,Ven0000,Locality687411,-117.987722769,True,Address327834,BusinessName831456,48.5075450204
Loc000084,(261)983-5301,Ven0000,Locality560151,-117.71228404,True,Address981924,BusinessName132163,48.5863845733
Loc000089,(994)806-4645,Ven0000,Locality448240,-118.211936518,True,Address33828,BusinessName533524,46.3406070859
Loc000088,(945)930-8118,Ven0000,Locality544951,-118.352641781,True,Address365176,BusinessName566732,47.5699548458
Loc000009,(498)655-8914,Ven0000,Locality832049,-122.628171417,True,Address457895,BusinessName982892,48.3138149163
Loc000008,(471)153-5192,Ven0000,Locality61156,-119.697215522,True,Address563173,BusinessName451034,48.6179834972
Loc000003,(717)388-7559,Ven0000,Locality870189,-122.990394052,True,Address909793,BusinessName751265,47.4988104223
Loc000002,(306)317-5452,Ven0000,Locality110244,-123.556264433,True,Address265749,BusinessName914877,46.6376292232
Loc000001,(976)696-5182,Ven0000,Locality881862,-121.83399024,True,Address229562,BusinessName775677,45.7546635872
Loc000000,(759)277-2901,Ven0000,Locality828163,-119.183720792,True,Address257641,BusinessName656616,45.6308590947
Loc000007,(321)273-9234,Ven0000,Locality558047,-118.305115508,True,Address525120,BusinessName982795,48.6178709148
Loc000006,(903)111-4377,Ven0000,Locality988229,-120.431164332,True,Address464286,BusinessName291704,47.3066414222
Loc000005,(914)959-3079,Ven0000,Locality942218,-120.019190113,True,Address981062,BusinessName807059,47.69400645
Loc000004,(589)922-2268,Ven0000,Locality587042,-117.787977204,True,Address82237,BusinessName631410,47.7756771841
Loc000069,(959)665-5229,Ven0000,Locality254833,-118.058470485,True,Address845261,BusinessName774895,46.796352787
Loc000068,(834)724-1873,Ven0000,Locality476270,-123.605449099,True,Address442636,BusinessName329811,47.4225881858
Loc000061,(976)975-5891,Ven0000,Locality642395,-121.488808183,True,Address866307,BusinessName703721,48.1242798598
Loc000060,(357)877-1025,Ven0000,Locality29324,-121.612833622,True,Address240636,BusinessName254701,47.5523902576
Loc000063,(493)798-1407,Ven0000,Locality842482,-118.475822551,True,Address978675,BusinessName266506,47.5157932641
Loc000062,(352)378-2812,Ven0000,Locality322426,-117.994014772,True,Address818508,BusinessName422409,47.4056143296
Loc000065,(247)424-5535,Ven0000,Locality266258,-123.325382851,True,Address76856,BusinessName335069,48.5755783067
Loc000064,(138)932-5026,Ven0000,Locality838633,-123.942713319,True,Address890885,BusinessName9544,48.8860608097
Loc000067,(216)564-7857,Ven0000,Locality635503,-120.360637974,True,Address685637,BusinessName822642,48.6584408065
Loc000066,(827)799-5594,Ven0000,Locality394208,-118.404464374,True,Address134882,BusinessName509814,48.3805660954
Loc000094,(459)341-3676,Ven0000,Locality4835,-117.618596191,True,Address53277,BusinessName594711,46.4325894507
Loc000095,(819)864-3992,Ven0000,Locality400735,-119.364115085,True,Address425976,BusinessName650439,48.1682364155
Loc000096,(972)983-9363,Ven0000,Locality999530,-121.08825246,True,Address644764,BusinessName80019,47.0287108299
Loc000097,(526)536-5382,Ven0000,Locality179850,-119.810597076,True,Address656250,BusinessName692079,46.2505772228
Loc000090,(836)287-5978,Ven0000,Locality370925,-119.484852768,True,Address605974,BusinessName376645,47.6488520027
Loc000091,(720)771-2097,Ven0000,Locality440804,-121.2389379,True,Address486390,BusinessName832134,48.4322340485
Loc000092,(617)406-9502,Ven0000,Locality959963,-120.535953075,True,Address582523,BusinessName860986,47.2639531107
Loc000093,(657)208-5478,Ven0000,Locality971966,-123.591790501,True,Address192875,BusinessName250561,46.6169614715
Loc000098,(805)530-3647,Ven0000,Locality19957,-118.196106244,True,Address755168,BusinessName327056,45.9857977497
Loc000099,(667)217-6212,Ven0000,Locality193943,-123.464280111,True,Address438153,BusinessName411066,45.9763636762
