KeyName,phone_number,address,locality,corporate_name
Ven0014,(113)494-8015,Address380808,Locality204260,CorporateName326230
Ven0008,(827)187-9678,Address373323,Locality106941,CorporateName903944
Ven0009,(835)424-1772,Address619408,Locality179065,CorporateName360598
Ven0019,(141)665-2166,Address101207,Locality649760,CorporateName7808
Ven0018,(517)361-3808,Address82870,Locality74310,CorporateName197963
Ven0004,(765)929-7568,Address635110,Locality486543,CorporateName914301
Ven0005,(321)191-7405,Address928519,Locality409545,CorporateName305860
Ven0006,(813)704-5900,Address692598,Locality728624,CorporateName814647
Ven0007,(579)676-5893,Address763612,Locality530423,CorporateName813180
Ven0000,(679)385-4005,Address58876,Locality457122,CorporateName278528
Ven0001,(831)527-2662,Address467103,Locality963592,CorporateName266113
Ven0002,(491)651-1502,Address481462,Locality713618,CorporateName574563
Ven0003,(872)421-3923,Address325843,Locality326772,CorporateName981545
Ven0017,(278)531-4739,Address413107,Locality142385,CorporateName852302
Ven0012,(630)233-4534,Address292340,Locality371280,CorporateName357177
Ven0011,(854)923-1367,Address756964,Locality279028,CorporateName309675
Ven0016,(752)490-9210,Address848159,Locality715824,CorporateName299840
Ven0013,(707)151-7788,Address739667,Locality483132,CorporateName311742
Ven0010,(423)499-4128,Address258591,Locality471628,CorporateName21348
Ven0015,(567)150-4402,Address785780,Locality548826,CorporateName176634
