MaxDistanceMeters,SearchType,MaxResults,HasShopsOnly,FilterByTrueDistance,CenterPt,SearchGridCells
15810.4094764,LocationByProximity,200,True,True,"(36.810259829036326, -101.26636973106828)","[(0, 'a_b440_6fc0'), (1, 'a_b440_7000'), (2, 'a_b400_6fc0'), (3, 'a_b400_7000'), (4, 'a_b480_6fc0'), (5, 'a_b480_7000'), (6, 'a_b440_6f80')]"
1686.36379236,LocationByProximity,200,True,True,"(37.42890884989201, -106.39915869718143)","[(0, 'd_b538_68a8'), (1, 'd_b538_68b0'), (2, 'd_b530_68a8'), (3, 'd_b538_68a0'), (4, 'd_b540_68a8'), (5, 'e_b534_68b0'), (6, 'f_b540_68b0'), (7, '10_b537_068a7')]"
14157.7028761,LocationByProximity,200,True,True,"(39.21135388549565, -107.35171108875566)","[(0, 'a_b7c0_6740'), (1, 'a_b780_6740'), (2, 'a_b7c0_6700'), (3, 'a_b780_6700'), (4, 'a_b7c0_6780'), (5, 'b_b7a0_6780')]"
13187.0455887,LocationByProximity,200,True,True,"(38.83894482742738, -106.24447016362801)","[(0, 'a_b700_68c0'), (1, 'a_b740_68c0'), (2, 'a_b700_6900'), (3, 'a_b740_6900'), (4, 'a_b700_6880'), (5, 'b_b740_68a0')]"
3515.14870715,LocationByProximity,200,True,True,"(37.66242209955781, -102.37198463384023)","[(0, 'c_b590_6e60'), (1, 'c_b580_6e60'), (2, 'c_b590_6e50'), (3, 'c_b580_6e50'), (4, 'c_b590_6e70'), (5, 'c_b580_6e70')]"
12813.4306831,LocationByProximity,200,True,True,"(38.6515511755882, -107.64412225397108)","[(0, 'a_b6c0_66c0'), (1, 'a_b700_66c0'), (2, 'a_b6c0_6700'), (3, 'b_b700_6700'), (4, 'a_b6c0_6680'), (5, 'b_b700_66a0')]"
5216.0398537,LocationByProximity,200,True,True,"(36.67432006462838, -106.14169782406057)","[(0, 'c_b420_6900'), (1, 'c_b420_6910'), (2, 'c_b430_6900'), (3, 'c_b420_68f0'), (4, 'c_b410_6900'), (5, 'c_b430_6910'), (6, 'c_b410_6910'), (7, 'c_b430_68f0'), (8, 'd_b418_68f8'), (9, 'c_b420_6920')]"
7125.73991315,LocationByProximity,200,True,True,"(36.915087670700174, -102.57261766063507)","[(0, 'b_b480_6e00'), (1, 'b_b460_6e00'), (2, 'b_b480_6e20'), (3, 'b_b460_6e20')]"
12051.9639477,LocationByProximity,200,True,True,"(37.433244535063814, -106.0806262065938)","[(0, 'a_b500_6900'), (1, 'a_b540_6900'), (2, 'a_b500_6940'), (3, 'a_b500_68c0'), (4, 'b_b540_6940'), (5, 'b_b540_68e0')]"
13970.2318582,LocationByProximity,200,True,True,"(36.820620586594416, -103.05406825235846)","[(0, 'a_b440_6d40'), (1, 'a_b440_6d80'), (2, 'a_b400_6d40'), (3, 'a_b480_6d40'), (4, 'a_b440_6d00'), (5, 'b_b420_6d80'), (6, 'b_b480_6d80')]"
2563.69927395,LocationByProximity,200,True,True,"(38.47106751194064, -103.83076190156389)","[(0, 'd_b6b0_6c50'), (1, 'd_b6b8_6c50'), (2, 'd_b6b0_6c58'), (3, 'd_b6b0_6c48'), (4, 'd_b6b8_6c58'), (5, 'd_b6b8_6c48'), (6, 'd_b6a8_6c50'), (7, 'e_b6ac_6c58'), (8, 'f_b6ae_6c4e')]"
14897.4776581,LocationByProximity,200,True,True,"(38.380139665598, -101.59730669166774)","[(0, 'a_b680_6f80'), (1, 'a_b680_6f40'), (2, 'a_b640_6f80'), (3, 'a_b640_6f40'), (4, 'a_b6c0_6f80'), (5, 'b_b6c0_6f60')]"
5640.21760191,LocationByProximity,200,True,True,"(37.21761662039557, -102.80670936050552)","[(0, 'b_b4e0_6dc0'), (1, 'b_b4e0_6da0'), (2, 'b_b4c0_6dc0'), (3, 'd_b4d8_6db8'), (4, 'b_b500_6dc0'), (5, 'b_b4e0_6de0')]"
12463.2583602,LocationByProximity,200,True,True,"(38.94903651118052, -103.52997197494115)","[(0, 'a_b740_6cc0'), (1, 'a_b740_6c80'), (2, 'a_b780_6cc0'), (3, 'a_b780_6c80'), (4, 'b_b720_6cc0'), (5, 'b_b720_6ca0')]"
1507.52994195,LocationByProximity,200,True,True,"(39.27600757948239, -107.41975036318928)","[(0, 'd_b7d8_6738'), (1, 'd_b7d8_6730'), (2, 'd_b7d0_6738'), (3, 'd_b7e0_6738'), (4, 'e_b7d4_6734'), (5, 'f_b7e0_6736'), (6, 'd_b7d8_6740')]"
11576.8907356,LocationByProximity,200,True,True,"(36.75619670294284, -106.92429954820864)","[(0, 'a_b440_67c0'), (1, 'a_b400_67c0'), (2, 'a_b440_6800'), (3, 'b_b420_6800'), (4, 'c_b440_67b0'), (5, 'f_b43e_67be')]"
