MaxDistanceMeters,SearchType,MaxResults,HasShopsOnly,FilterByTrueDistance,CenterPt,SearchGridCells
9805.82584801,LocationByProximity,200,True,True,"(47.636646724622466, -91.88199047669994)","[(0, 'b_c3a0_7d40'), (1, 'b_c3c0_7d40'), (2, 'b_c3a0_7d60'), (3, 'b_c3c0_7d60'), (4, 'b_c3a0_7d20'), (5, 'b_c3c0_7d20'), (6, 'c_c3b0_7d80'), (7, 'c_c3c0_7d80'), (8, 'b_c380_7d40'), (9, 'd_c3e0_7d50')]"
4694.54227675,LocationByProximity,200,True,True,"(48.66113335464264, -93.9769266901038)","[(0, 'c_c530_7a50'), (1, 'c_c530_7a60'), (2, 'c_c530_7a40'), (3, 'c_c520_7a50'), (4, 'c_c520_7a60'), (5, 'c_c520_7a40'), (6, 'c_c540_7a50'), (7, 'c_c540_7a60'), (8, 'c_c540_7a40')]"
6442.65885644,LocationByProximity,200,True,True,"(47.22908851965473, -96.98763544103271)","[(0, 'b_c320_7600'), (1, 'b_c320_75e0'), (2, 'b_c320_7620'), (3, 'b_c300_7600'), (4, 'c_c310_75f0'), (5, 'c_c310_7620'), (6, 'b_c340_7600')]"
4067.00635811,LocationByProximity,200,True,True,"(47.69109052753099, -93.00698821034528)","[(0, 'c_c3d0_7bb0'), (1, 'c_c3c0_7bb0'), (2, 'c_c3d0_7bc0'), (3, 'c_c3d0_7ba0'), (4, 'c_c3c0_7bc0'), (5, 'c_c3c0_7ba0'), (6, 'c_c3e0_7bb0'), (7, 'f_c3e0_7bc0')]"
4839.49671602,LocationByProximity,200,True,True,"(47.2898006568656, -90.51150783941806)","[(0, 'c_c340_7f40'), (1, 'c_c330_7f40'), (2, 'c_c340_7f30'), (3, 'c_c330_7f30'), (4, 'c_c340_7f50'), (5, 'c_c330_7f50'), (6, 'c_c350_7f40'), (7, 'd_c340_7f28'), (8, 'd_c338_7f28'), (9, 'd_c350_7f38')]"
10016.6449904,LocationByProximity,200,True,True,"(46.0151133362618, -90.26822269479521)","[(0, 'a_c140_7f80'), (1, 'a_c180_7f80'), (2, 'a_c140_7f40'), (3, 'a_c140_7fc0'), (4, 'c_c180_7f70'), (5, 'c_c180_7fc0')]"
11809.1070961,LocationByProximity,200,True,True,"(46.72971338823338, -90.9301063997145)","[(0, 'a_c240_7e80'), (1, 'a_c280_7e80'), (2, 'a_c240_7ec0'), (3, 'a_c280_7ec0'), (4, 'a_c240_7e40'), (5, 'c_c280_7e70')]"
13489.6066984,LocationByProximity,200,True,True,"(47.97017025391946, -90.41205003712611)","[(0, 'a_c400_7f40'), (1, 'a_c440_7f40'), (2, 'a_c400_7f80'), (3, 'a_c440_7f80'), (4, 'a_c400_7f00'), (5, 'b_c440_7f20')]"
10298.50295,LocationByProximity,200,True,True,"(45.9092208247882, -95.89614260216597)","[(0, 'a_c140_7780'), (1, 'a_c100_7780'), (2, 'a_c140_7740'), (3, 'a_c140_77c0'), (4, 'b_c120_7760'), (5, 'c_c130_77c0')]"
11186.2502933,LocationByProximity,200,True,True,"(48.84309267740343, -90.60569061906317)","[(0, 'a_c540_7f00'), (1, 'a_c580_7f00'), (2, 'a_c540_7f40'), (3, 'a_c540_7ec0'), (4, 'b_c580_7f40'), (5, 'b_c580_7ee0')]"
5203.59374428,LocationByProximity,200,True,True,"(48.01228902911195, -93.65485250830532)","[(0, 'b_c440_7ac0'), (1, 'b_c420_7ac0'), (2, 'b_c440_7aa0'), (3, 'b_c440_7ae0'), (4, 'c_c430_7ab0'), (5, 'e_c43c_7ae0')]"
8341.85961745,LocationByProximity,200,True,True,"(48.04315092655389, -93.91851261278741)","[(0, 'b_c440_7a60'), (1, 'b_c440_7a40'), (2, 'b_c440_7a80'), (3, 'b_c460_7a60'), (4, 'b_c460_7a40'), (5, 'b_c420_7a60'), (6, 'b_c460_7a80'), (7, 'c_c430_7a50'), (8, 'c_c430_7a80')]"
809.37619475,LocationByProximity,200,True,True,"(47.911207533843374, -94.4703131515871)","[(0, 'e_c420_79a4'), (1, 'e_c424_79a4'), (2, 'e_c420_79a0'), (3, 'e_c424_79a0'), (4, 'f_c422_79a8'), (5, 'f_c424_79a8')]"
9584.61303664,LocationByProximity,200,True,True,"(47.328552496818695, -93.6833110977382)","[(0, 'a_c340_7ac0'), (1, 'a_c340_7a80'), (2, 'a_c300_7ac0'), (3, 'a_c300_7a80')]"
8782.53748702,LocationByProximity,200,True,True,"(47.35608278157511, -94.38493638109809)","[(0, 'b_c340_79c0'), (1, 'b_c340_79a0'), (2, 'b_c360_79c0'), (3, 'b_c360_79a0'), (4, 'b_c340_79e0'), (5, 'c_c360_79e0'), (6, 'b_c340_7980'), (7, 'b_c320_79c0'), (8, 'c_c360_7990'), (9, 'c_c330_79b0')]"
12041.7404051,LocationByProximity,200,True,True,"(48.738863739703, -93.66735405768509)","[(0, 'a_c540_7ac0'), (1, 'a_c540_7a80'), (2, 'a_c500_7ac0'), (3, 'a_c500_7a80'), (4, 'a_c540_7b00')]"
8478.22939789,LocationByProximity,200,True,True,"(45.60347434764893, -91.81886110539467)","[(0, 'b_c0c0_7d60'), (1, 'b_c0e0_7d60'), (2, 'b_c0c0_7d40'), (3, 'b_c0e0_7d40'), (4, 'b_c0c0_7d80'), (5, 'b_c0e0_7d80'), (6, 'e_c0bc_7d68')]"
5163.16264537,LocationByProximity,200,True,True,"(46.661708854454886, -94.2021829596914)","[(0, 'b_c240_7a00'), (1, 'b_c260_7a00'), (2, 'b_c240_79e0'), (3, 'b_c260_79e0')]"
12235.6249381,LocationByProximity,200,True,True,"(46.159822778671824, -91.04734746506296)","[(0, 'a_c180_7e80'), (1, 'a_c180_7e40'), (2, 'a_c1c0_7e80'), (3, 'a_c1c0_7e40'), (4, 'b_c160_7e80'), (5, 'c_c170_7e70')]"
8855.72200092,LocationByProximity,200,True,True,"(46.638474362345384, -93.8388182342413)","[(0, 'b_c240_7a80'), (1, 'b_c240_7a60'), (2, 'b_c260_7a80'), (3, 'b_c240_7aa0'), (4, 'b_c260_7a60'), (5, 'b_c220_7a80'), (6, 'b_c260_7aa0'), (7, 'b_c220_7a60'), (8, 'c_c230_7aa0')]"
