MaxDistanceMeters,SearchType,MaxResults,HasShopsOnly,FilterByTrueDistance,CenterPt,SearchGridCells
6382.80558891,LocationByProximity,200,True,True,"(48.5026851976881, -123.63387278594699)","[(0, 'b_c4e0_5020'), (1, 'b_c500_5020'), (2, 'b_c4e0_5000'), (3, 'b_c500_5000'), (4, 'b_c4e0_5040'), (5, 'c_c500_5040')]"
6923.17678259,LocationByProximity,200,True,True,"(48.02522547545354, -123.85785539812402)","[(0, 'b_c440_4fc0'), (1, 'b_c440_4fe0'), (2, 'b_c420_4fc0'), (3, 'b_c440_4fa0'), (4, 'b_c420_4fe0'), (5, 'b_c460_4fc0'), (6, 'c_c460_4fe0'), (7, 'e_c43c_4fbc')]"
8504.7200904,LocationByProximity,200,True,True,"(47.11606644501231, -122.56685902365068)","[(0, 'b_c300_51a0'), (1, 'b_c2e0_51a0'), (2, 'b_c300_5180'), (3, 'b_c300_51c0'), (4, 'b_c2e0_5180'), (5, 'b_c2e0_51c0')]"
13613.9337516,LocationByProximity,200,True,True,"(46.164830132901784, -123.53707055743229)","[(0, 'a_c180_5040'), (1, 'a_c180_5000'), (2, 'a_c1c0_5040'), (3, 'a_c1c0_5000'), (4, 'a_c180_5080'), (5, 'a_c140_5040'), (6, 'c_c170_5030'), (7, 'e_c1c0_5080')]"
1522.72481148,LocationByProximity,200,True,True,"(46.42726355345663, -121.11043600830223)","[(0, 'd_c200_53c0'), (1, 'd_c208_53c0'), (2, 'd_c200_53b8'), (3, 'd_c208_53b8'), (4, 'f_c206_53c8'), (5, '10_c208_053c8')]"
10647.5606232,LocationByProximity,200,True,True,"(46.21954516532705, -122.51616260663583)","[(0, 'b_c1a0_51c0'), (1, 'b_c1a0_51a0'), (2, 'b_c1c0_51c0'), (3, 'b_c1c0_51a0'), (4, 'b_c1a0_51e0'), (5, 'b_c1a0_5180'), (6, 'b_c1c0_51e0'), (7, 'b_c1c0_5180'), (8, 'b_c180_51c0'), (9, 'b_c180_51a0')]"
10655.8998612,LocationByProximity,200,True,True,"(47.77337240384194, -121.32387191151865)","[(0, 'a_c3c0_5340'), (1, 'a_c3c0_5380'), (2, 'a_c400_5340'), (3, 'a_c400_5380'), (4, 'b_c3e0_5320')]"
10863.036956,LocationByProximity,200,True,True,"(47.39617347770993, -122.56643629062336)","[(0, 'a_c340_5180'), (1, 'a_c340_51c0'), (2, 'a_c380_5180'), (3, 'b_c380_51c0'), (4, 'a_c340_5140')]"
12576.8399515,LocationByProximity,200,True,True,"(46.649662754269826, -119.35881420081111)","[(0, 'a_c240_5600'), (1, 'a_c240_5640'), (2, 'a_c200_5600'), (3, 'a_c200_5640'), (4, 'b_c280_5620'), (5, 'b_c280_5640')]"
8280.06822138,LocationByProximity,200,True,True,"(47.71762731820687, -117.50730001675932)","[(0, 'b_c3c0_58e0'), (1, 'b_c3c0_58c0'), (2, 'b_c3e0_58e0'), (3, 'b_c3e0_58c0'), (4, 'b_c3c0_5900'), (5, 'b_c3c0_58a0'), (6, 'c_c3e0_5900'), (7, 'c_c3e0_58b0')]"
