MaxDistanceMeters,SearchType,MaxResults,HasShopsOnly,FilterByTrueDistance,CenterPt,SearchGridCells
13390.4840509,LocationByProximity,200,True,True,"(45.80363233662899, -117.44254264715921)","[(0, 'a_c100_58c0'), (1, 'a_c100_5900'), (2, 'a_c140_58c0'), (3, 'a_c140_5900'), (4, 'a_c0c0_58c0'), (5, 'a_c100_5880'), (6, 'b_c0e0_5900')]"
7254.69379515,LocationByProximity,200,True,True,"(45.827831964105826, -122.47276140490146)","[(0, 'b_c120_51c0'), (1, 'b_c120_51e0'), (2, 'b_c120_51a0'), (3, 'b_c100_51c0'), (4, 'b_c140_51c0'), (5, 'c_c110_51e0'), (6, 'c_c110_51b0'), (7, 'd_c140_51e0'), (8, 'd_c140_51b8')]"
15535.0978665,LocationByProximity,200,True,True,"(46.10666610744138, -119.07215648546739)","[(0, 'a_c180_5680'), (1, 'a_c180_56c0'), (2, 'a_c140_5680'), (3, 'a_c180_5640'), (4, 'a_c140_56c0'), (5, 'b_c160_5660'), (6, 'a_c1c0_5680'), (7, 'c_c1c0_56c0')]"
12375.8367713,LocationByProximity,200,True,True,"(46.5770175270329, -122.88476816574112)","[(0, 'a_c200_5100'), (1, 'a_c240_5100'), (2, 'a_c200_5140'), (3, 'a_c240_5140')]"
14599.3969539,LocationByProximity,200,True,True,"(46.10904743188712, -120.78331769912823)","[(0, 'a_c180_5400'), (1, 'a_c180_5440'), (2, 'a_c140_5400'), (3, 'a_c140_5440'), (4, 'a_c180_53c0'), (5, 'a_c1c0_5400'), (6, 'b_c1c0_5440'), (7, 'd_c178_53f8')]"
13062.6119276,LocationByProximity,200,True,True,"(48.80831598758991, -117.85370552334061)","[(0, 'a_c540_5840'), (1, 'a_c540_5880'), (2, 'a_c540_5800'), (3, 'a_c580_5840'), (4, 'b_c580_5880'), (5, 'b_c580_5820'), (6, 'a_c500_5840')]"
3460.74763721,LocationByProximity,200,True,True,"(45.9423838590293, -117.47744209602408)","[(0, 'c_c150_58e0'), (1, 'c_c150_58f0'), (2, 'c_c140_58e0'), (3, 'c_c150_58d0'), (4, 'c_c160_58e0'), (5, 'c_c140_58f0'), (6, 'd_c160_58f0'), (7, '10_c14f_058df')]"
2201.92319774,LocationByProximity,200,True,True,"(45.98798674876452, -122.9373100123822)","[(0, 'd_c160_5120'), (1, 'd_c160_5128'), (2, 'd_c168_5120'), (3, 'd_c168_5128'), (4, 'd_c160_5118'), (5, 'd_c168_5118'), (6, 'd_c160_5130'), (7, 'd_c168_5130')]"
4660.5617907,LocationByProximity,200,True,True,"(46.701580578758474, -119.5426555022201)","[(0, 'b_c260_55e0'), (1, 'b_c260_5600'), (2, 'b_c240_55e0'), (3, 'c_c250_5600')]"
5053.25702266,LocationByProximity,200,True,True,"(48.97899059706353, -119.78809287325225)","[(0, 'b_c5a0_55a0'), (1, 'b_c5a0_5580'), (2, 'b_c580_55a0'), (3, 'b_c580_5580')]"
